fecha,mes,año,precio_promedio,lag_1,lag_12,ventas_pred
2024-01-31,1,2024,5386.786923888465,894.0,1984.0,2450.4854
2024-02-29,2,2024,5386.786923888465,894.0,1984.0,2185.272
2024-03-31,3,2024,5386.786923888465,894.0,1984.0,1195.2815
2024-04-30,4,2024,5386.786923888465,894.0,1984.0,1195.2815
2024-05-31,5,2024,5386.786923888465,894.0,1984.0,1080.8651
2024-06-30,6,2024,5386.786923888465,894.0,1984.0,1080.8651
2024-07-31,7,2024,5386.786923888465,894.0,1984.0,1080.8651
2024-08-31,8,2024,5386.786923888465,894.0,1984.0,1080.8651
2024-09-30,9,2024,5386.786923888465,894.0,1984.0,1080.8651
2024-10-31,10,2024,5386.786923888465,894.0,1984.0,1080.8651
2024-11-30,11,2024,5386.786923888465,894.0,1984.0,1120.9758
2024-12-31,12,2024,5386.786923888465,894.0,1984.0,1776.4287
